x,y
0,0.0
3,1.73
6,2.45
9,3.0
12,3.46
15,3.87
18,4.24
21,4.58
24,4.9
27,5.2
30,5.48
33,5.74
36,6.0
39,6.24
42,6.48
45,6.71
48,6.93
51,7.14
54,7.35
57,7.55
60,7.75
63,7.94
66,8.12
69,8.31
72,8.49
75,8.66
78,8.83
81,9.0
84,9.17
87,9.33
90,9.49
93,9.64
96,9.8
99,9.95
102,10.1
105,10.25
108,10.39
111,10.54
114,10.68
117,10.82
120,10.95
123,11.09
126,11.22
129,11.36
132,11.49
135,11.62
138,11.75
141,11.87
144,12.0
147,12.12
150,12.25
153,12.37
156,12.49
159,12.61
162,12.73
165,12.85
168,12.96
171,13.08
174,13.19
177,13.3
180,13.42
183,13.53
186,13.64
189,13.75
192,13.86
195,13.96
198,14.07
201,14.18
204,14.28
207,14.39
210,14.49
213,14.59
216,14.7
219,14.8
222,14.9
225,15.0
228,15.1
231,15.2
234,15.3
237,15.39
240,15.49
243,15.59
246,15.68
249,15.78
252,15.87
255,15.97
258,16.06
261,16.16
264,16.25
267,16.34
270,16.43
273,16.52
276,16.61
279,16.7
282,16.79
285,16.88
288,16.97
291,17.06
294,17.15
297,17.23
300,17.32
303,17.41
306,17.49
309,17.58
312,17.66
315,17.75
318,17.83
321,17.92
324,18.0
327,18.08
330,18.17
333,18.25
336,18.33
339,18.41
342,18.49
345,18.57
348,18.65
351,18.73
354,18.81
357,18.89
360,18.97
363,19.05
366,19.13
369,19.21
372,19.29
375,19.36
378,19.44
381,19.52
384,19.6
387,19.67
390,19.75
393,19.82
396,19.9
399,19.97
402,20.05
405,20.12
408,20.2
411,20.27
414,20.35
417,20.42
420,20.49
423,20.57
426,20.64
429,20.71
432,20.78
435,20.86
438,20.93
441,21.0
444,21.07
447,21.14
450,21.21
453,21.28
456,21.35
459,21.42
462,21.49
465,21.56
468,21.63
471,21.7
474,21.77
477,21.84
480,21.91
483,21.98
486,22.05
489,22.11
492,22.18
495,22.25
498,22.32
501,22.38
504,22.45
507,22.52
510,22.58
513,22.65
516,22.72
519,22.78
522,22.85
525,22.91
528,22.98
531,23.04
534,23.11
537,23.17
540,23.24
543,23.3
546,23.37
549,23.43
552,23.49
555,23.56
558,23.62
561,23.69
564,23.75
567,23.81
570,23.87
573,23.94
576,24.0
579,24.06
582,24.12
585,24.19
588,24.25
591,24.31
594,24.37
597,24.43
600,24.49
603,24.56
606,24.62
609,24.68
612,24.74
615,24.8
618,24.86
621,24.92
624,24.98
627,25.04
630,25.1
633,25.16
636,25.22
639,25.28
642,25.34
645,25.4
648,25.46
651,25.51
654,25.57
657,25.63
660,25.69
663,25.75
666,25.81
669,25.87
672,25.92
675,25.98
678,26.04
681,26.1
684,26.15
687,26.21
690,26.27
693,26.32
696,26.38
699,26.44
702,26.5
705,26.55
708,26.61
711,26.66
714,26.72
717,26.78
720,26.83
723,26.89
726,26.94
729,27.0
732,27.06
735,27.11
738,27.17
741,27.22
744,27.28
747,27.33
750,27.39
753,27.44
756,27.5
759,27.55
762,27.6
765,27.66
768,27.71
771,27.77
774,27.82
777,27.87
780,27.93
783,27.98
786,28.04
789,28.09
792,28.14
795,28.2
798,28.25
801,28.3
804,28.35
807,28.41
810,28.46
813,28.51
816,28.57
819,28.62
822,28.67
825,28.72
828,28.77
831,28.83
834,28.88
837,28.93
840,28.98
843,29.03
846,29.09
849,29.14
852,29.19
855,29.24
858,29.29
861,29.34
864,29.39
867,29.44
870,29.5
873,29.55
876,29.6
879,29.65
882,29.7
885,29.75
888,29.8
891,29.85
894,29.9
897,29.95
900,30.0
903,30.05
906,30.1
909,30.15
912,30.2
915,30.25
918,30.3
921,30.35
924,30.4
927,30.45
930,30.5
933,30.55
936,30.59
939,30.64
942,30.69
945,30.74
948,30.79
951,30.84
954,30.89
957,30.94
960,30.98
963,31.03
966,31.08
969,31.13
972,31.18
975,31.22
978,31.27
981,31.32
984,31.37
987,31.42
990,31.46
993,31.51
996,31.56
999,31.61
1002,31.65
1005,31.7
1008,31.75
1011,31.8
1014,31.84
1017,31.89
1020,31.94
1023,31.98
1026,32.03
1029,32.08
1032,32.12
1035,32.17
1038,32.22
1041,32.26
1044,32.31
1047,32.36
1050,32.4
1053,32.45
1056,32.5
1059,32.54
1062,32.59
1065,32.63
1068,32.68
1071,32.73
1074,32.77
1077,32.82
1080,32.86
1083,32.91
1086,32.95
1089,33.0
1092,33.05
1095,33.09
1098,33.14
1101,33.18
1104,33.23
1107,33.27
1110,33.32
1113,33.36
1116,33.41
1119,33.45
1122,33.5
1125,33.54
1128,33.59
1131,33.63
1134,33.67
1137,33.72
1140,33.76
1143,33.81
1146,33.85
1149,33.9
1152,33.94
1155,33.99
1158,34.03
1161,34.07
1164,34.12
1167,34.16
1170,34.21
1173,34.25
1176,34.29
1179,34.34
1182,34.38
1185,34.42
1188,34.47
1191,34.51
1194,34.55
1197,34.6
1200,34.64
1203,34.68
1206,34.73
1209,34.77
1212,34.81
1215,34.86
1218,34.9
1221,34.94
1224,34.99
1227,35.03
1230,35.07
1233,35.11
1236,35.16
1239,35.2
1242,35.24
1245,35.28
1248,35.33
1251,35.37
1254,35.41
1257,35.45
1260,35.5
1263,35.54
1266,35.58
1269,35.62
1272,35.67
1275,35.71
1278,35.75
1281,35.79
1284,35.83
1287,35.87
1290,35.92
1293,35.96
1296,36.0
1299,36.04
1302,36.08
1305,36.12
1308,36.17
1311,36.21
1314,36.25
1317,36.29
1320,36.33
1323,36.37
1326,36.41
1329,36.46
1332,36.5
1335,36.54
1338,36.58
1341,36.62
1344,36.66
1347,36.7
1350,36.74
1353,36.78
1356,36.82
1359,36.86
1362,36.91
1365,36.95
1368,36.99
1371,37.03
1374,37.07
1377,37.11
1380,37.15
1383,37.19
1386,37.23
1389,37.27
1392,37.31
1395,37.35
1398,37.39
1401,37.43
1404,37.47
1407,37.51
1410,37.55
1413,37.59
1416,37.63
1419,37.67
1422,37.71
1425,37.75
1428,37.79
1431,37.83
1434,37.87
1437,37.91
1440,37.95
1443,37.99
1446,38.03
1449,38.07
1452,38.11
1455,38.14
1458,38.18
1461,38.22
1464,38.26
1467,38.3
1470,38.34
1473,38.38
1476,38.42
1479,38.46
1482,38.5
1485,38.54
1488,38.57
1491,38.61
1494,38.65
1497,38.69
